code_point,intent_code_point,distance
113,113,0
113,119,1
113,101,2
113,114,3
113,116,4
113,121,5
113,117,6
113,105,7
113,111,8
113,112,9
113,97,1
113,115,2
113,100,3
113,102,4
113,103,5
113,104,6
113,106,7
113,107,8
113,108,9
113,122,2
113,120,3
113,99,4
113,118,5
113,98,6
113,110,7
113,109,8
119,113,1
119,119,0
119,101,1
119,114,2
119,116,3
119,121,4
119,117,5
119,105,6
119,111,7
119,112,8
119,97,2
119,115,1
119,100,2
119,102,3
119,103,4
119,104,5
119,106,6
119,107,7
119,108,8
119,122,3
119,120,2
119,99,3
119,118,4
119,98,5
119,110,6
119,109,7
101,113,2
101,119,1
101,101,0
101,114,1
101,116,2
101,121,3
101,117,4
101,105,5
101,111,6
101,112,7
101,97,3
101,115,2
101,100,1
101,102,2
101,103,3
101,104,4
101,106,5
101,107,6
101,108,7
101,122,4
101,120,3
101,99,2
101,118,3
101,98,4
101,110,5
101,109,6
114,113,3
114,119,2
114,101,1
114,114,0
114,116,1
114,121,2
114,117,3
114,105,4
114,111,5
114,112,6
114,97,4
114,115,3
114,100,2
114,102,1
114,103,2
114,104,3
114,106,4
114,107,5
114,108,6
114,122,5
114,120,4
114,99,3
114,118,2
114,98,3
114,110,4
114,109,5
116,113,4
116,119,3
116,101,2
116,114,1
116,116,0
116,121,1
116,117,2
116,105,3
116,111,4
116,112,5
116,97,5
116,115,4
116,100,3
116,102,2
116,103,1
116,104,2
116,106,3
116,107,4
116,108,5
116,122,6
116,120,5
116,99,4
116,118,3
116,98,2
116,110,3
116,109,4
121,113,5
121,119,4
121,101,3
121,114,2
121,116,1
121,121,0
121,117,1
121,105,2
121,111,3
121,112,4
121,97,6
121,115,5
121,100,4
121,102,3
121,103,2
121,104,1
121,106,2
121,107,3
121,108,4
121,122,7
121,120,6
121,99,5
121,118,4
121,98,3
121,110,2
121,109,3
117,113,6
117,119,5
117,101,4
117,114,3
117,116,2
117,121,1
117,117,0
117,105,1
117,111,2
117,112,3
117,97,7
117,115,6
117,100,5
117,102,4
117,103,3
117,104,2
117,106,1
117,107,2
117,108,3
117,122,8
117,120,7
117,99,6
117,118,5
117,98,4
117,110,3
117,109,2
105,113,7
105,119,6
105,101,5
105,114,4
105,116,3
105,121,2
105,117,1
105,105,0
105,111,1
105,112,2
105,97,8
105,115,7
105,100,6
105,102,5
105,103,4
105,104,3
105,106,2
105,107,1
105,108,2
105,122,9
105,120,8
105,99,7
105,118,6
105,98,5
105,110,4
105,109,3
111,113,8
111,119,7
111,101,6
111,114,5
111,116,4
111,121,3
111,117,2
111,105,1
111,111,0
111,112,1
111,97,9
111,115,8
111,100,7
111,102,6
111,103,5
111,104,4
111,106,3
111,107,2
111,108,1
111,122,10
111,120,9
111,99,8
111,118,7
111,98,6
111,110,5
111,109,4
112,113,9
112,119,8
112,101,7
112,114,6
112,116,5
112,121,4
112,117,3
112,105,2
112,111,1
112,112,0
112,97,10
112,115,9
112,100,8
112,102,7
112,103,6
112,104,5
112,106,4
112,107,3
112,108,2
112,122,11
112,120,10
112,99,9
112,118,8
112,98,7
112,110,6
112,109,5
97,113,1
97,119,2
97,101,3
97,114,4
97,116,5
97,121,6
97,117,7
97,105,8
97,111,9
97,112,10
97,97,0
97,115,1
97,100,2
97,102,3
97,103,4
97,104,5
97,106,6
97,107,7
97,108,8
97,122,1
97,120,2
97,99,3
97,118,4
97,98,5
97,110,6
97,109,7
115,113,2
115,119,1
115,101,2
115,114,3
115,116,4
115,121,5
115,117,6
115,105,7
115,111,8
115,112,9
115,97,1
115,115,0
115,100,1
115,102,2
115,103,3
115,104,4
115,106,5
115,107,6
115,108,7
115,122,2
115,120,1
115,99,2
115,118,3
115,98,4
115,110,5
115,109,6
100,113,3
100,119,2
100,101,1
100,114,2
100,116,3
100,121,4
100,117,5
100,105,6
100,111,7
100,112,8
100,97,2
100,115,1
100,100,0
100,102,1
100,103,2
100,104,3
100,106,4
100,107,5
100,108,6
100,122,3
100,120,2
100,99,1
100,118,2
100,98,3
100,110,4
100,109,5
102,113,4
102,119,3
102,101,2
102,114,1
102,116,2
102,121,3
102,117,4
102,105,5
102,111,6
102,112,7
102,97,3
102,115,2
102,100,1
102,102,0
102,103,1
102,104,2
102,106,3
102,107,4
102,108,5
102,122,4
102,120,3
102,99,2
102,118,1
102,98,2
102,110,3
102,109,4
103,113,5
103,119,4
103,101,3
103,114,2
103,116,1
103,121,2
103,117,3
103,105,4
103,111,5
103,112,6
103,97,4
103,115,3
103,100,2
103,102,1
103,103,0
103,104,1
103,106,2
103,107,3
103,108,4
103,122,5
103,120,4
103,99,3
103,118,2
103,98,1
103,110,2
103,109,3
104,113,6
104,119,5
104,101,4
104,114,3
104,116,2
104,121,1
104,117,2
104,105,3
104,111,4
104,112,5
104,97,5
104,115,4
104,100,3
104,102,2
104,103,1
104,104,0
104,106,1
104,107,2
104,108,3
104,122,6
104,120,5
